Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,198.52,199.27,197.85,198.98,198.98,85634000
2015-01-05,198.75,199.46,197.68,199.12,199.12,78456000
2015-01-06,199.25,200.10,198.35,198.87,198.87,82341000
2015-01-07,198.98,199.65,197.42,197.55,197.55,89127000
2015-01-08,197.48,198.90,196.82,198.23,198.23,91256000
2015-01-09,198.35,199.80,198.02,199.45,199.45,76543000
2015-01-12,199.58,200.25,198.95,200.10,200.10,72456000
2015-01-13,200.25,201.15,199.65,200.85,200.85,69342000
2015-01-14,200.98,201.50,199.85,198.56,198.56,81234000
2015-01-15,198.42,199.35,197.25,198.92,198.92,89567000
2015-01-16,199.15,200.45,198.75,200.25,200.25,75678000
2015-01-19,200.35,201.85,200.05,201.56,201.56,68923000
2015-01-20,201.68,202.35,200.95,200.45,200.45,72341000
2015-01-21,200.52,201.25,199.15,198.75,198.75,85678000
2015-01-22,198.65,199.85,197.95,199.25,199.25,81234000
2015-01-23,199.35,200.65,198.85,200.35,200.35,74567000
2015-01-26,200.45,201.50,199.85,201.25,201.25,69342000
2015-01-27,201.35,202.15,200.65,201.85,201.85,71234000
2015-01-28,201.95,202.85,201.25,200.75,200.75,78456000
2015-01-29,200.65,201.75,199.85,201.15,201.15,82341000
2015-01-30,201.25,202.25,200.55,201.95,201.95,75678000
2015-02-02,202.05,203.15,201.35,202.85,202.85,72341000
2015-02-03,202.95,203.85,202.15,203.45,203.45,68923000
2015-02-04,203.55,204.25,202.85,203.15,203.15,71234000
2015-02-05,203.25,204.15,202.55,203.85,203.85,74567000
2015-02-06,203.95,204.85,203.15,204.25,204.25,77890000
2015-02-09,204.35,205.25,203.95,204.85,204.85,75678000
2015-02-10,204.95,205.85,204.25,205.35,205.35,72341000
2015-02-11,205.45,206.25,204.75,205.85,205.85,68923000
2015-02-12,205.95,206.85,205.35,206.25,206.25,71234000
2015-02-13,206.35,207.15,205.75,206.75,206.75,74567000
2015-02-16,206.85,207.75,206.25,207.35,207.35,77890000
2015-02-17,207.45,208.25,206.95,207.85,207.85,75678000
2015-02-18,207.95,208.85,207.35,208.25,208.25,72341000
2015-02-19,208.35,209.15,207.85,208.95,208.95,68923000
2015-02-20,209.05,209.95,208.35,209.45,209.45,71234000
2015-02-23,209.55,210.35,209.05,209.95,209.95,74567000
2015-02-24,210.05,210.85,209.45,210.25,210.25,77890000
2015-02-25,210.35,211.25,209.85,210.85,210.85,75678000
2015-02-26,210.95,211.75,210.35,211.15,211.15,72341000
