Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,101.25,101.85,100.95,101.52,101.52,4230000
2015-01-05,101.45,102.05,101.15,101.78,101.78,3890000
2015-01-06,101.65,102.15,101.35,101.95,101.95,4120000
2015-01-07,101.85,102.35,101.65,102.05,102.05,3980000
2015-01-08,101.95,102.45,101.75,102.15,102.15,4050000
2015-01-09,102.05,102.55,101.85,102.25,102.25,3880000
2015-01-12,102.15,102.65,101.95,102.35,102.35,3920000
2015-01-13,102.25,102.75,102.05,102.45,102.45,3780000
2015-01-14,102.35,102.85,102.15,102.55,102.55,3850000
2015-01-15,102.45,102.95,102.25,102.65,102.65,4010000
2015-01-16,102.55,103.05,102.35,102.75,102.75,3760000
2015-01-19,102.65,103.15,102.45,102.85,102.85,3890000
2015-01-20,102.75,103.25,102.55,102.95,102.95,3940000
2015-01-21,102.85,103.35,102.65,103.05,103.05,3820000
2015-01-22,102.95,103.45,102.75,103.15,103.15,3960000
2015-01-23,103.05,103.55,102.85,103.25,103.25,3710000
2015-01-26,103.15,103.65,102.95,103.35,103.35,3840000
2015-01-27,103.25,103.75,103.05,103.45,103.45,3980000
2015-01-28,103.35,103.85,103.15,103.55,103.55,4020000
2015-01-29,103.45,103.95,103.25,103.65,103.65,3670000
2015-01-30,103.55,104.05,103.35,103.75,103.75,3790000
2015-02-02,103.65,104.15,103.45,103.85,103.85,3860000
2015-02-03,103.75,104.25,103.55,103.95,103.95,3930000
2015-02-04,103.85,104.35,103.65,104.05,104.05,3770000
2015-02-05,103.95,104.45,103.75,104.15,104.15,3910000
2015-02-06,104.05,104.55,103.85,104.25,104.25,4040000
2015-02-09,104.15,104.65,103.95,104.35,104.35,3690000
2015-02-10,104.25,104.75,104.05,104.45,104.45,3810000
2015-02-11,104.35,104.85,104.15,104.55,104.55,3880000
2015-02-12,104.45,104.95,104.25,104.65,104.65,3950000
2015-02-13,104.55,105.05,104.35,104.75,104.75,3720000
2015-02-16,104.65,105.15,104.45,104.85,104.85,3850000
2015-02-17,104.75,105.25,104.55,104.95,104.95,3920000
2015-02-18,104.85,105.35,104.65,105.05,105.05,3780000
2015-02-19,104.95,105.45,104.75,105.15,105.15,3990000
2015-02-20,105.05,105.55,104.75,105.25,105.25,3650000
2015-02-23,105.15,105.65,104.85,105.35,105.35,3820000
2015-02-24,105.25,105.75,104.95,105.45,105.45,3890000
2015-02-25,105.35,105.85,105.05,105.55,105.55,3960000
2015-02-26,105.45,105.95,105.15,105.65,105.65,3730000
2015-02-27,105.55,106.05,105.25,105.75,105.75,3860000
2015-03-02,105.65,106.15,105.45,105.85,105.85,3930000
2015-03-03,105.75,106.25,105.55,105.95,105.95,3790000
2015-03-04,105.85,106.35,105.65,106.05,106.05,4020000
2015-03-05,105.95,106.45,105.75,106.15,106.15,3680000
2015-03-06,106.05,106.55,105.75,106.25,106.25,3840000
2015-03-09,106.15,106.65,105.85,106.35,106.35,3910000
2015-03-10,106.25,106.75,106.05,106.45,106.45,3980000
2015-03-11,106.35,106.85,106.15,106.55,106.55,3750000
2015-03-12,106.45,106.95,106.25,106.65,106.65,3880000
2015-03-13,106.55,107.05,106.35,106.75,106.75,4020000
2015-03-16,106.65,107.15,106.45,106.85,106.85,3700000
2015-03-17,106.75,107.25,106.55,106.95,106.95,3830000
2015-03-18,106.85,107.35,106.65,107.05,107.05,3900000
2015-03-19,106.95,107.45,106.75,107.15,107.15,3970000
2015-03-20,107.05,107.55,106.85,107.25,107.25,3740000
2015-03-23,107.15,107.65,106.95,107.35,107.35,3870000
2015-03-24,107.25,107.75,107.05,107.45,107.45,3940000
2015-03-25,107.35,107.85,107.15,107.55,107.55,3800000
2015-03-26,107.45,107.95,107.25,107.65,107.65,4030000
2015-03-27,107.55,108.05,107.35,107.75,107.75,3690000
2015-03-30,107.65,108.15,107.45,107.85,107.85,3850000
2015-03-31,107.75,108.25,107.55,107.95,107.95,3920000
2015-04-01,107.85,108.35,107.65,108.05,108.05,3990000
2015-04-02,107.95,108.45,107.75,108.15,108.15,3760000
2015-04-06,108.05,108.55,107.75,108.25,108.25,3890000
2015-04-07,108.15,108.65,107.85,108.35,108.35,3960000
2015-04-08,108.25,108.75,108.05,108.45,108.45,3820000
2015-04-09,108.35,108.85,108.15,108.55,108.55,4050000
2015-04-10,108.45,108.95,108.25,108.65,108.65,3710000
2015-04-13,108.55,109.05,108.35,108.75,108.75,3840000
2015-04-14,108.65,109.15,108.45,108.85,108.85,3910000
2015-04-15,108.75,109.25,108.55,108.95,108.95,3980000
2015-04-16,108.85,109.35,108.65,109.05,109.05,3750000
2015-04-17,108.95,109.45,108.75,109.15,109.15,3880000
2015-04-20,109.05,109.55,108.85,109.25,109.25,4020000
2015-04-21,109.15,109.65,108.95,109.35,109.35,3680000
2015-04-22,109.25,109.75,109.05,109.45,109.45,3810000
2015-04-23,109.35,109.85,109.15,109.55,109.55,3920000
2015-04-24,109.45,109.95,109.25,109.65,109.65,3990000
2015-04-27,109.55,110.05,109.35,109.75,109.75,3760000
2015-04-28,109.65,110.15,109.45,109.85,109.85,3890000
2015-04-29,109.75,110.25,109.55,109.95,109.95,3960000
2015-04-30,109.85,110.35,109.65,110.05,110.05,3820000
2015-05-01,109.95,110.45,109.75,110.15,110.15,4050000
2015-05-04,110.05,110.55,109.85,110.25,110.25,3710000
2015-05-05,110.15,110.65,109.95,110.35,110.35,3840000
2015-05-06,110.25,110.75,110.05,110.45,110.45,3910000
2015-05-07,110.35,110.85,110.15,110.55,110.55,3980000
2015-05-08,110.45,110.95,110.25,110.65,110.65,3750000
2015-05-11,110.55,111.05,110.35,110.75,110.75,3880000
2015-05-12,110.65,111.15,110.45,110.85,110.85,4020000
2015-05-13,110.75,111.25,110.55,110.95,110.95,3680000
2015-05-14,110.85,111.35,110.65,111.05,111.05,3810000
2015-05-15,110.95,111.45,110.75,111.15,111.15,3920000
2015-05-18,111.05,111.55,110.85,111.25,111.25,3990000
2015-05-19,111.15,111.65,110.95,111.35,111.35,3760000
2015-05-20,111.25,111.75,111.05,111.45,111.45,3890000
2015-05-21,111.35,111.85,111.15,111.55,111.55,3960000
2015-05-22,111.45,111.95,111.25,111.65,111.65,3820000
2015-05-26,111.55,112.05,111.35,111.75,111.75,4050000
2015-05-27,111.65,112.15,111.45,111.85,111.85,3710000
2015-05-28,111.75,112.25,111.55,111.95,111.95,3840000
2015-05-29,111.85,112.35,111.65,112.05,112.05,3910000
2015-06-01,111.95,112.45,111.75,112.15,112.15,3980000
2015-06-02,112.05,112.55,111.85,112.25,112.25,3750000
2015-06-03,112.15,112.65,111.95,112.35,112.35,3880000
2015-06-04,112.25,112.75,112.05,112.45,112.45,4020000
2015-06-05,112.35,112.85,112.15,112.55,112.55,3680000
2015-06-08,112.45,112.95,112.25,112.65,112.65,3810000
2015-06-09,112.55,113.05,112.35,112.75,112.75,3920000
2015-06-10,112.65,113.15,112.45,112.85,112.85,3990000
2015-06-11,112.75,113.25,112.55,112.95,112.95,3760000
2015-06-12,112.85,113.35,112.65,113.05,113.05,3890000
2015-06-15,112.95,113.45,112.75,113.15,113.15,3960000
2015-06-16,113.05,113.55,112.85,113.25,113.25,3820000
2015-06-17,113.15,113.65,112.95,113.35,113.35,4050000
2015-06-18,113.25,113.75,112.95,113.45,113.45,3710000
2015-06-19,113.35,113.85,113.05,113.55,113.55,3840000
2015-06-22,113.45,113.95,113.15,113.65,113.65,3910000
2015-06-23,113.55,114.05,113.25,113.75,113.75,3980000
2015-06-24,113.65,114.15,113.35,113.85,113.85,3750000
2015-06-25,113.75,114.25,113.55,113.95,113.95,3880000
2015-06-26,113.85,114.35,113.65,114.05,114.05,4020000
2015-06-29,113.95,114.45,113.75,114.15,114.15,3680000
2015-06-30,114.05,114.55,113.85,114.25,114.25,3810000
2015-07-01,114.15,114.65,113.95,114.35,114.35,3920000
2015-07-02,114.25,114.75,114.05,114.45,114.45,3990000
2015-07-06,114.35,114.85,114.15,114.55,114.55,3760000
2015-07-07,114.45,114.95,114.25,114.65,114.65,3890000
2015-07-08,114.55,115.05,114.35,114.75,114.75,3960000
2015-07-09,114.65,115.15,114.45,114.85,114.85,3820000
2015-07-10,114.75,115.25,114.55,114.95,114.95,4050000
2015-07-13,114.85,115.35,114.65,115.05,115.05,3710000
2015-07-14,114.95,115.45,114.75,115.15,115.15,3840000
2015-07-15,115.05,115.55,114.85,115.25,115.25,3910000
2015-07-16,115.15,115.65,114.95,115.35,115.35,3980000
2015-07-17,115.25,115.75,115.05,115.45,115.45,3750000
2015-07-20,115.35,115.85,115.15,115.55,115.55,3880000
2015-07-21,115.45,115.95,115.25,115.65,115.65,4020000
2015-07-22,115.55,116.05,115.35,115.75,115.75,3680000
2015-07-23,115.65,116.15,115.45,115.85,115.85,3810000
2015-07-24,115.75,116.25,115.55,115.95,115.95,3920000
2015-07-27,115.85,116.35,115.65,116.05,116.05,3990000
2015-07-28,115.95,116.45,115.75,116.15,116.15,3760000
2015-07-29,116.05,116.55,115.85,116.25,116.25,3890000
2015-07-30,116.15,116.65,115.95,116.35,116.35,3960000
2015-07-31,116.25,116.75,116.05,116.45,116.45,3820000
2015-08-03,116.35,116.85,116.15,116.55,116.55,4050000
2015-08-04,116.45,116.95,116.25,116.65,116.65,3710000
2015-08-05,116.55,117.05,116.35,116.75,116.75,3840000
2015-08-06,116.65,117.15,116.45,116.85,116.85,3910000
2015-08-07,116.75,117.25,116.55,116.95,116.95,3980000
2015-08-10,116.85,117.35,116.65,117.05,117.05,3750000
2015-08-11,116.95,117.45,116.75,117.15,117.15,3880000
2015-08-12,117.05,117.55,116.85,117.25,117.25,4020000
2015-08-13,117.15,117.65,116.95,117.35,117.35,3680000
2015-08-14,117.25,117.75,117.05,117.45,117.45,3810000
2015-08-17,117.35,117.85,117.15,117.55,117.55,3920000
2015-08-18,117.45,117.95,117.25,117.65,117.65,3990000
